Available ExplainEthics pkl files:
  /mnt/c/Tugas_Akhir/ARGOS_public_anon/all_outs_cot_met_explain_ethics_explain_ethics_rulethresh=0.5,_cot_thresh=0.8_(annealing_0.1_rule),_dynamic=True,_llama8B,_backbone-grounded_CoT.pkl

Loaded 138 examples from all_outs_cot_met_explain_ethics_explain_ethics_rulethresh=0.5,_cot_thresh=0.8_(annealing_0.1_rule),_dynamic=True,_llama8B,_backbone-grounded_CoT.pkl
Dataset: 145 ExplainEthics examples
Derived 138 labels from dataset gold_foundation field

Total preds: 138
  Pre-solved by SAT (initial UNSAT, no LLM needed) : 10
  SAT backbone with added premise (backbone loop)  : 0
  CoT fallback                                     : 128
  Missed                                           : 0
  [Total SAT-resolved = 10]

Overall accuracy : 0.6087  (84/138)
Correct via SAT  : 0
Correct via CoT  : 84
Missed/skipped   : 0

Macro-averaged standard metrics (over 6 norm classes):
  Accuracy : 0.6087
  Precision: 1.0000
  Recall   : 0.6857
  F1 Score : 0.8031

Name                           Pred norm                 Gold norm                 Shown label               OK?
-------------------------------------------------------------------------------------------------------------------
explainethics56.cnf            unknown                   violate_sanctity          violate_sanctity          ✗
explainethics134.cnf           unknown                   violate_sanctity          violate_loyalty           ✗
explainethics43.cnf            unknown                   violate_sanctity          violate_sanctity          ✗
explainethics91.cnf            unknown                   violate_sanctity          violate_authority         ✗
explainethics7.cnf             unknown                   violate_care              violate_loyalty           ✗
explainethics125.cnf           unknown                   violate_care              violate_care              ✗
explainethics51.cnf            unknown                   violate_care              violate_care              ✗
explainethics132.cnf           unknown                   violate_care              violate_fairness          ✗
explainethics69.cnf            unknown                   violate_sanctity          violate_care              ✗
explainethics86.cnf            unknown                   violate_fairness          violate_fairness          ✗
explainethics4.cnf             violate_fairness          violate_fairness          violate_fairness          ✓
explainethics8.cnf             violate_authority         violate_authority         violate_authority         ✓
explainethics16.cnf            violate_care              violate_care              violate_care              ✓
explainethics57.cnf            unknown                   violate_authority         violate_authority         ✗
explainethics60.cnf            violate_care              violate_care              violate_fairness          ✓
explainethics33.cnf            unknown                   violate_care              violate_care              ✗
explainethics110.cnf           violate_sanctity          violate_sanctity          violate_sanctity          ✓
explainethics143.cnf           violate_authority         violate_authority         violate_authority         ✓
explainethics118.cnf           unknown                   violate_care              violate_care              ✗
explainethics10.cnf            unknown                   violate_care              violate_liberty           ✗
explainethics55.cnf            unknown                   violate_care              violate_care              ✗
explainethics107.cnf           unknown                   violate_authority         violate_authority         ✗
explainethics97.cnf            violate_care              violate_care              violate_care              ✓
explainethics63.cnf            violate_authority         violate_authority         violate_care              ✓
explainethics136.cnf           unknown                   violate_care              violate_sanctity          ✗
explainethics23.cnf            violate_care              violate_care              violate_fairness          ✓
explainethics89.cnf            unknown                   violate_care              violate_liberty           ✗
explainethics53.cnf            violate_authority         violate_authority         violate_liberty           ✓
explainethics30.cnf            unknown                   violate_sanctity          violate_authority         ✗
explainethics133.cnf           violate_authority         violate_authority         violate_authority         ✓
