,name,pos,neg
0,explainethics90.cnf,SAT,SAT
1,explainethics103.cnf,SAT,SAT
2,explainethics88.cnf,SAT,SAT
3,explainethics113.cnf,SAT,SAT
4,explainethics106.cnf,SAT,SAT
5,explainethics71.cnf,SAT,SAT
6,explainethics78.cnf,SAT,SAT
7,explainethics75.cnf,SAT,SAT
8,explainethics25.cnf,SAT,SAT
9,explainethics136.cnf,SAT,SAT
10,explainethics5.cnf,SAT,SAT
11,explainethics45.cnf,SAT,SAT
12,explainethics84.cnf,SAT,SAT
13,explainethics2.cnf,SAT,SAT
14,explainethics123.cnf,SAT,SAT
15,explainethics96.cnf,SAT,SAT
16,explainethics12.cnf,SAT,SAT
17,explainethics101.cnf,SAT,SAT
18,explainethics61.cnf,SAT,SAT
19,explainethics108.cnf,SAT,SAT
20,explainethics142.cnf,SAT,SAT
21,explainethics8.cnf,SAT,SAT
22,explainethics33.cnf,SAT,SAT
23,explainethics44.cnf,SAT,SAT
24,explainethics99.cnf,SAT,SAT
25,explainethics82.cnf,SAT,SAT
26,explainethics116.cnf,SAT,SAT
27,explainethics133.cnf,SAT,SAT
28,explainethics105.cnf,SAT,SAT
29,explainethics29.cnf,SAT,SAT
30,explainethics27.cnf,SAT,SAT
31,explainethics92.cnf,SAT,SAT
32,explainethics11.cnf,SAT,SAT
33,explainethics48.cnf,SAT,SAT
34,explainethics53.cnf,SAT,SAT
35,explainethics111.cnf,SAT,SAT
36,explainethics60.cnf,SAT,SAT
37,explainethics77.cnf,SAT,SAT
38,explainethics40.cnf,SAT,SAT
39,explainethics69.cnf,SAT,UNSAT
40,explainethics30.cnf,SAT,SAT
41,explainethics7.cnf,SAT,UNSAT
42,explainethics21.cnf,SAT,SAT
43,explainethics102.cnf,SAT,SAT
44,explainethics4.cnf,SAT,SAT
45,explainethics81.cnf,SAT,SAT
46,explainethics46.cnf,SAT,SAT
47,explainethics132.cnf,SAT,UNSAT
48,explainethics83.cnf,SAT,SAT
49,explainethics35.cnf,SAT,SAT
50,explainethics54.cnf,SAT,SAT
51,explainethics36.cnf,SAT,SAT
52,explainethics32.cnf,SAT,SAT
53,explainethics19.cnf,SAT,SAT
54,explainethics43.cnf,SAT,UNSAT
55,explainethics70.cnf,SAT,SAT
56,explainethics52.cnf,SAT,SAT
57,explainethics22.cnf,SAT,SAT
58,explainethics91.cnf,SAT,UNSAT
59,explainethics95.cnf,SAT,SAT
60,explainethics98.cnf,SAT,SAT
61,explainethics89.cnf,SAT,SAT
62,explainethics86.cnf,SAT,UNSAT
63,explainethics118.cnf,SAT,SAT
64,explainethics115.cnf,SAT,SAT
65,explainethics16.cnf,SAT,SAT
66,explainethics143.cnf,SAT,SAT
67,explainethics51.cnf,SAT,UNSAT
68,explainethics62.cnf,SAT,SAT
69,explainethics129.cnf,SAT,SAT
70,explainethics93.cnf,SAT,SAT
71,explainethics55.cnf,SAT,SAT
72,explainethics137.cnf,SAT,SAT
73,explainethics80.cnf,SAT,SAT
74,explainethics94.cnf,SAT,SAT
75,explainethics58.cnf,SAT,SAT
76,explainethics124.cnf,SAT,SAT
77,explainethics20.cnf,SAT,SAT
78,explainethics117.cnf,SAT,SAT
79,explainethics125.cnf,SAT,UNSAT
80,explainethics50.cnf,SAT,SAT
81,explainethics59.cnf,SAT,SAT
82,explainethics1.cnf,SAT,SAT
83,explainethics141.cnf,SAT,SAT
84,explainethics126.cnf,SAT,SAT
85,explainethics3.cnf,SAT,SAT
86,explainethics13.cnf,SAT,SAT
87,explainethics140.cnf,SAT,SAT
88,explainethics26.cnf,SAT,SAT
89,explainethics87.cnf,SAT,SAT
90,explainethics65.cnf,SAT,SAT
91,explainethics120.cnf,SAT,SAT
92,explainethics128.cnf,SAT,SAT
93,explainethics97.cnf,SAT,SAT
94,explainethics107.cnf,SAT,SAT
95,explainethics110.cnf,SAT,SAT
96,explainethics24.cnf,SAT,SAT
97,explainethics17.cnf,SAT,SAT
98,explainethics14.cnf,SAT,SAT
99,explainethics76.cnf,SAT,SAT
100,explainethics74.cnf,SAT,SAT
101,explainethics144.cnf,SAT,SAT
102,explainethics56.cnf,SAT,UNSAT
103,explainethics37.cnf,SAT,SAT
104,explainethics15.cnf,SAT,SAT
105,explainethics23.cnf,SAT,SAT
106,explainethics57.cnf,SAT,SAT
107,explainethics139.cnf,SAT,SAT
108,explainethics28.cnf,SAT,SAT
109,explainethics10.cnf,SAT,SAT
110,explainethics9.cnf,SAT,SAT
111,explainethics49.cnf,SAT,SAT
112,explainethics100.cnf,SAT,SAT
113,explainethics72.cnf,SAT,SAT
114,explainethics64.cnf,SAT,SAT
115,explainethics85.cnf,SAT,SAT
116,explainethics66.cnf,SAT,SAT
117,explainethics79.cnf,SAT,SAT
118,explainethics63.cnf,SAT,SAT
119,explainethics42.cnf,SAT,SAT
120,explainethics134.cnf,SAT,UNSAT
121,explainethics112.cnf,SAT,SAT
122,explainethics130.cnf,SAT,SAT
123,explainethics131.cnf,SAT,SAT
124,explainethics114.cnf,SAT,SAT
125,explainethics138.cnf,SAT,SAT
126,explainethics41.cnf,SAT,SAT
127,explainethics109.cnf,SAT,SAT
128,explainethics104.cnf,SAT,SAT
129,explainethics135.cnf,SAT,SAT
130,explainethics68.cnf,SAT,SAT
131,explainethics6.cnf,SAT,SAT
132,explainethics119.cnf,SAT,SAT
133,explainethics34.cnf,SAT,SAT
134,explainethics127.cnf,SAT,SAT
135,explainethics47.cnf,SAT,SAT
136,explainethics67.cnf,SAT,SAT
137,explainethics122.cnf,SAT,SAT
